Label	Value	Cell	Name	Address	Extracted Format	Expected Format	Units	Address Check	Format Check	Unit Check	Name	Address	Format	Extracted Format	Units	Label	Reference	Type	Laterality	Constructor
Patient:	0	$C$3	Patient	C3	General	@		TRUE	Check	TRUE	Patient	C3	@	@		Patient:	Patient Name	Plan Property		
CR#:	0	$C$4	PatientID	C4	General	@		TRUE	Check	TRUE	PatientID	C4	@	@		PatientID	Patient ID	Plan Property		
Site:	0	$K$3	Site	K3	General	@		TRUE	Check	TRUE	Site	K3	@	@		Site:	Body Region	Plan Property		
Plan Name:	0	$K$4	PlanName	K4	General	@		TRUE	Check	TRUE	PlanName	K4	@	@		Plan Name:	Plan	Plan Property		
Prescription Dose (cGy):	0	$G$3	Dose	G3	0.0	0.0	cGy	TRUE	TRUE	TRUE	GTV_Volume	F6	0.00	0.00	cc	GTV Volume (cc)	IGTV	Structure		Volume
Fractions:	0	$G$4	Fractions	G4	0	0		TRUE	TRUE	TRUE	ITV_Volume	F7	0.00	0.00	cc	ITV Volume (cc):	ITV	Structure		Volume
GTV Volume (cc)	0	$F$6	GTV_Volume	F6	0.00	0.00	cc	TRUE	TRUE	TRUE	PTV_Volume	F8	0.00	0.00	cc	PTV Volume (cc)	PTV	Structure		Volume
ITV Volume (cc):	0	$F$7	ITV_Volume	F7	0.00	0.00	cc	TRUE	TRUE	TRUE	TotalLungVolume	F9	0.00	0.00	cc	Total Lung Volume (cc)	Lung	Structure	Both	Volume
PTV Volume (cc)	0	$F$8	PTV_Volume	F8	0.00	0.00	cc	TRUE	TRUE	TRUE	Dose	G3	0.0	0.0	cGy	Prescription Dose (cGy):	Total dose	Plan Property		
Total Lung Volume (cc)	0	$F$9	TotalLungVolume	F9	0.00	0.00	cc	TRUE	TRUE	TRUE	Fractions	G4	0.0	0		Fractions:		Plan Property		
Plan Normalization Value (%)	??	$F$13	Normalization	F13	0.0%	0.0%	%	TRUE	TRUE	TRUE	Normalization	F13	0.0%	0.0%	%	Plan Normalization Value (%)		Plan Property		
PTV - V100(%)	??	$F$16	PTV_V100	F16	0.0%	0.0%	cc	TRUE	TRUE	Check	PTV_Max	F18	0.0%	0.0%	%	PTV Maximum Dose (%)	PTV	Structure		Max Dose
